,img_name,noise_scale,corr,noise_idx,mat_filename,mat_key
188,imk00225.iml,0.8,0.9791190915025649,3,imk00225.iml.mat,noise_3
189,imk00225.iml,1.0,0.9791435460270572,4,imk00225.iml.mat,noise_4
190,imk00191.iml,0.1,0.9692141815195479,0,imk00191.iml.mat,noise_0
191,imk00191.iml,0.2,0.9681971706152696,1,imk00191.iml.mat,noise_1
192,imk00191.iml,0.5,0.9681299398969271,2,imk00191.iml.mat,noise_2
193,imk00191.iml,0.8,0.9685783237425606,3,imk00191.iml.mat,noise_3
194,imk00191.iml,1.0,0.9685473304763654,4,imk00191.iml.mat,noise_4
200,imk00146.iml,0.1,0.9721555788550045,0,imk00146.iml.mat,noise_0
201,imk00146.iml,0.2,0.9724807544880506,1,imk00146.iml.mat,noise_1
202,imk00146.iml,0.5,0.9726905307843612,2,imk00146.iml.mat,noise_2
203,imk00146.iml,0.8,0.9722385980229913,3,imk00146.iml.mat,noise_3
204,imk00146.iml,1.0,0.972026036915494,4,imk00146.iml.mat,noise_4
205,imk04122.iml,0.1,0.9691246653378465,0,imk04122.iml.mat,noise_0
206,imk04122.iml,0.2,0.9682969625149416,1,imk04122.iml.mat,noise_1
207,imk04122.iml,0.5,0.9683355385685504,2,imk04122.iml.mat,noise_2
208,imk04122.iml,0.8,0.9686035661191081,3,imk04122.iml.mat,noise_3
209,imk04122.iml,1.0,0.9681508479699625,4,imk04122.iml.mat,noise_4
210,imk00232.iml,0.1,0.9776838264897553,0,imk00232.iml.mat,noise_0
211,imk00232.iml,0.2,0.9775360393339102,1,imk00232.iml.mat,noise_1
212,imk00232.iml,0.5,0.9873620846702441,2,imk00232.iml.mat,noise_2
213,imk00232.iml,0.8,0.987248534305258,3,imk00232.iml.mat,noise_3
214,imk00232.iml,1.0,0.9872607600915254,4,imk00232.iml.mat,noise_4
220,imk00179.iml,0.1,0.9847954320588855,0,imk00179.iml.mat,noise_0
221,imk00179.iml,0.2,0.984604839390565,1,imk00179.iml.mat,noise_1
222,imk00179.iml,0.5,0.9848399867228277,2,imk00179.iml.mat,noise_2
223,imk00179.iml,0.8,0.9847960951891479,3,imk00179.iml.mat,noise_3
224,imk00179.iml,1.0,0.9847582805630649,4,imk00179.iml.mat,noise_4
225,imk01071.iml,0.1,0.9858123417576458,0,imk01071.iml.mat,noise_0
226,imk01071.iml,0.2,0.9858811067956539,1,imk01071.iml.mat,noise_1
227,imk01071.iml,0.5,0.985881357836127,2,imk01071.iml.mat,noise_2
228,imk01071.iml,0.8,0.9857864478205425,3,imk01071.iml.mat,noise_3
229,imk01071.iml,1.0,0.9861673278311522,4,imk01071.iml.mat,noise_4
230,imk00347.iml,0.1,0.9894990419999998,0,imk00347.iml.mat,noise_0
231,imk00347.iml,0.2,0.9894032740621171,1,imk00347.iml.mat,noise_1
232,imk00347.iml,0.5,0.9895046858286718,2,imk00347.iml.mat,noise_2
233,imk00347.iml,0.8,0.9898142769004719,3,imk00347.iml.mat,noise_3
234,imk00347.iml,1.0,0.9896647193915261,4,imk00347.iml.mat,noise_4
235,imk00353.iml,0.1,0.9853247078776861,0,imk00353.iml.mat,noise_0
236,imk00353.iml,0.2,0.9853892422387047,1,imk00353.iml.mat,noise_1
237,imk00353.iml,0.5,0.9852866852437293,2,imk00353.iml.mat,noise_2
238,imk00353.iml,0.8,0.9853933764460644,3,imk00353.iml.mat,noise_3
239,imk00353.iml,1.0,0.9852445578182459,4,imk00353.iml.mat,noise_4
245,imk00791.iml,0.1,0.98457540385529,0,imk00791.iml.mat,noise_0
246,imk00791.iml,0.2,0.9847567691807104,1,imk00791.iml.mat,noise_1
247,imk00791.iml,0.5,0.9846407935240662,2,imk00791.iml.mat,noise_2
248,imk00791.iml,0.8,0.9846266410132075,3,imk00791.iml.mat,noise_3
249,imk00791.iml,1.0,0.9846727249401422,4,imk00791.iml.mat,noise_4
250,imk00034.iml,0.1,0.973849132662372,0,imk00034.iml.mat,noise_0
251,imk00034.iml,0.2,0.9848305997950536,1,imk00034.iml.mat,noise_1
252,imk00034.iml,0.5,0.9848776589511288,2,imk00034.iml.mat,noise_2
253,imk00034.iml,0.8,0.972690402353233,3,imk00034.iml.mat,noise_3
254,imk00034.iml,1.0,0.9686927883131747,4,imk00034.iml.mat,noise_4
255,imk01316.iml,0.1,0.9837970697456474,0,imk01316.iml.mat,noise_0
256,imk01316.iml,0.2,0.9908672795609831,1,imk01316.iml.mat,noise_1
257,imk01316.iml,0.5,0.990929562916897,2,imk01316.iml.mat,noise_2
258,imk01316.iml,0.8,0.9911052012905263,3,imk01316.iml.mat,noise_3
259,imk01316.iml,1.0,0.9907551810605294,4,imk01316.iml.mat,noise_4
260,imk00356.iml,0.1,0.9866600850818346,0,imk00356.iml.mat,noise_0
261,imk00356.iml,0.2,0.9865323919913557,1,imk00356.iml.mat,noise_1
262,imk00356.iml,0.5,0.9865371708387298,2,imk00356.iml.mat,noise_2
263,imk00356.iml,0.8,0.986518971678963,3,imk00356.iml.mat,noise_3
264,imk00356.iml,1.0,0.9864506085490438,4,imk00356.iml.mat,noise_4
265,imk00368.iml,0.1,0.9890403929663244,0,imk00368.iml.mat,noise_0
266,imk00368.iml,0.2,0.9891642219997419,1,imk00368.iml.mat,noise_1
267,imk00368.iml,0.5,0.9941714439134219,2,imk00368.iml.mat,noise_2
268,imk00368.iml,0.8,0.9938288976906697,3,imk00368.iml.mat,noise_3
269,imk00368.iml,1.0,0.9865797523304499,4,imk00368.iml.mat,noise_4
270,imk00354.iml,0.1,0.994436116295749,0,imk00354.iml.mat,noise_0
271,imk00354.iml,0.2,0.9944432114534956,1,imk00354.iml.mat,noise_1
272,imk00354.iml,0.5,0.9944171113837537,2,imk00354.iml.mat,noise_2
273,imk00354.iml,0.8,0.9944626544036962,3,imk00354.iml.mat,noise_3
274,imk00354.iml,1.0,0.9943989289096019,4,imk00354.iml.mat,noise_4
275,imk00397.iml,0.1,0.9821337167841425,0,imk00397.iml.mat,noise_0
276,imk00397.iml,0.2,0.9898109160172397,1,imk00397.iml.mat,noise_1
277,imk00397.iml,0.5,0.9898106175557775,2,imk00397.iml.mat,noise_2
278,imk00397.iml,0.8,0.9749065582603861,3,imk00397.iml.mat,noise_3
279,imk00397.iml,1.0,0.9612524841993161,4,imk00397.iml.mat,noise_4
290,imk00037.iml,0.1,0.9864447412415164,0,imk00037.iml.mat,noise_0
291,imk00037.iml,0.2,0.9865620662659484,1,imk00037.iml.mat,noise_1
292,imk00037.iml,0.5,0.9862292516801943,2,imk00037.iml.mat,noise_2
293,imk00037.iml,0.8,0.9864682089920334,3,imk00037.iml.mat,noise_3
294,imk00037.iml,1.0,0.9866093351132035,4,imk00037.iml.mat,noise_4
295,imk00396.iml,0.1,0.9838598188554937,0,imk00396.iml.mat,noise_0
296,imk00396.iml,0.2,0.9909365431804161,1,imk00396.iml.mat,noise_1
297,imk00396.iml,0.5,0.990912766861908,2,imk00396.iml.mat,noise_2
298,imk00396.iml,0.8,0.9836393566372035,3,imk00396.iml.mat,noise_3
299,imk00396.iml,1.0,0.9830325642227109,4,imk00396.iml.mat,noise_4
300,imk00355.iml,0.1,0.9836094346508911,0,imk00355.iml.mat,noise_0
301,imk00355.iml,0.2,0.9833580628867616,1,imk00355.iml.mat,noise_1
302,imk00355.iml,0.5,0.9833580570835898,2,imk00355.iml.mat,noise_2
303,imk00355.iml,0.8,0.9833204648626761,3,imk00355.iml.mat,noise_3
304,imk00355.iml,1.0,0.962030141583025,4,imk00355.iml.mat,noise_4
320,imk00373.iml,0.1,0.976780726205412,0,imk00373.iml.mat,noise_0
321,imk00373.iml,0.2,0.9765924100071854,1,imk00373.iml.mat,noise_1
322,imk00373.iml,0.5,0.9595061645432056,2,imk00373.iml.mat,noise_2
323,imk00373.iml,0.8,0.9544544711851529,3,imk00373.iml.mat,noise_3
324,imk00373.iml,1.0,0.9520005304417497,4,imk00373.iml.mat,noise_4
325,imk00367.iml,0.1,0.9868471572854334,0,imk00367.iml.mat,noise_0
326,imk00367.iml,0.2,0.9869199428837839,1,imk00367.iml.mat,noise_1
327,imk00367.iml,0.5,0.9868895175461868,2,imk00367.iml.mat,noise_2
328,imk00367.iml,0.8,0.9868776506302133,3,imk00367.iml.mat,noise_3
329,imk00367.iml,1.0,0.9871058880851666,4,imk00367.iml.mat,noise_4
330,imk04101.iml,0.1,0.9836289184612124,0,imk04101.iml.mat,noise_0
331,imk04101.iml,0.2,0.9837959920832038,1,imk04101.iml.mat,noise_1
332,imk04101.iml,0.5,0.9840249309688901,2,imk04101.iml.mat,noise_2
333,imk04101.iml,0.8,0.9837170582319962,3,imk04101.iml.mat,noise_3
334,imk04101.iml,1.0,0.9840988193878099,4,imk04101.iml.mat,noise_4
335,imk00398.iml,0.1,0.984193153612393,0,imk00398.iml.mat,noise_0
336,imk00398.iml,0.2,0.9841744342137505,1,imk00398.iml.mat,noise_1
337,imk00398.iml,0.5,0.9842054329287481,2,imk00398.iml.mat,noise_2
338,imk00398.iml,0.8,0.9841773857242818,3,imk00398.iml.mat,noise_3
339,imk00398.iml,1.0,0.9843285275733537,4,imk00398.iml.mat,noise_4
340,imk00165.iml,0.1,0.9900993225681926,0,imk00165.iml.mat,noise_0
